Timestamp,Which support pillar/team are you from? ,Accountability ,Ownership,Communication Skills,Curiosity ,Inquisitive,Love of Learning ,Adaptability,Pragmatic,Flexibility,Positive Attitude,Time Management,Project Planning,Approachable ,Patient,Open mindedness ,Logical,Empathetic to others,High user end-focus,Team Player,Understanding of software development practices and principles,"Writes clean, robust code",Motivated,Attention to detail,Committed/Wont give up,Ownership,Communication Skills,Curiosity,Inquisitive,Love of Learning,Adaptability,Pragmatic,Flexibility,Positive Attitude,Time Management,Project Planning,Approachable,Patient,Open-Mindedness ,Logical ,Empathetic to others,High user end-focus,Team Player,Understanding of software development practices and principles,"Writes clean, robust code",Motivated,Attention to detail,Committed/Wont give up,Student Care,Tutor Support,Mentoring,Community Interaction,Understanding of software development practices and principles,Curiosity ,Curiosity 
8/14/2020 16:26:19,Student Care,"Tutor Support, Student Care",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Student Care","Student Care, Community","Tutor Support, Mentoring, Community","Tutor Support, Community","Tutor Support, Student Care, Community","Tutor Support, Mentoring, Student Care, Community",Student Care,"Tutor Support, Mentoring, Student Care",Student Care,"Mentoring, Student Care",Mentoring,"Student Care, Community",Student Care,Mentoring,Tutor Support,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Student Care","Mentoring, Community","Tutor Support, Mentoring, Community",Tutor Support,"Mentoring, Student Care, Community",Tutor Support,"Mentoring, Student Care, Community","SCA is attentive and emphatic on the call or via email, takes time to listen, and clearly states follow up actions",LSE clearly communicates where the suspected issue is and ensures and assures the student is capable of fixing it themselves,Mentor provides clear project management guidance of what's required at each session stage to help ensure student is doing the work to meet session goals and assessment criteria,Attentive to conversations being had with clear referral to supports if needed with posts guiding student in what to do next,,,
8/14/2020 16:27:23,Student Care,Student Care,,,,,,,,,,,,,,,,,,,,,,,,Student Care,"Student Care, Community","Mentoring, Community","Tutor Support, Mentoring, Student Care","Mentoring, Student Care, Community","Mentoring, Student Care","Tutor Support, Mentoring",Student Care,Student Care,Student Care,"Mentoring, Student Care","Student Care, Community",Student Care,Student Care,"Tutor Support, Mentoring",Student Care,Student Care,Student Care,"Tutor Support, Mentoring, Student Care, Community",Tutor Support,"Student Care, Community","Mentoring, Student Care, Community",Student Care,"Coming with a challenge, issue and coming to a resolution, or at least a course of action that will result in a positive outcome","Prompt response, helping guide to a solution by pointing to a block of code to double check, some extra learning resources to help overcome the problem themselves, no hand holding but a bit of sympathy/empathy for the student. They are coming to TS with an issue, probably frustrated they cant figure out the challenge and a delayed wait for assistance can lead to an easily irritable student.","Depending on the call, First call clear feedback on Wireframes and making sure the plan is good, within scope and achievable. Second call should provide feedback on the design and visuals of the site, critiques on how to refactor some code, third call should critique the README and Project as a whole making sure they are hitting all criteria.","maintain a positive environment for students to help each other out, should really go the extra step and begin making review calls. The community extends past coffee mornings on slack and into the LinkedIn community, Alumni community, graduates. Would really feed in to the Podcasts and Hackathons",,,
8/14/2020 17:09:22,Student Care,"Student Care, Community",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring","Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care","Tutor Support, Student Care","Tutor Support, Mentoring","Student Care, Community","Tutor Support, Mentoring, Student Care, Community",Student Care,Mentoring,"Student Care, Community","Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring","Student Care, Community","Tutor Support, Mentoring","Student Care, Community","Tutor Support, Mentoring","Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care, Community",A valuable and informative conversation where questions are clearly answered and concerns are diminished,"A live chat about a specific element of code causing issues with timely and honest responses, ultimately leading to a well-understood solution","Industry related advice on how to better projects, write robust code, and align my portfolio with my career goals ","To see how community interaction results in fun and interesting conversations with my peers, monitored by a professional to ensure a safe place to talk about the course. ",,,
8/20/2020 13:31:23,Tutoring,"Tutor Support, Mentoring, Student Care, Community",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Community","Tutor Support, Mentoring","Mentoring, Community","Mentoring, Community","Mentoring, Community","Tutor Support, Mentoring, Student Care","Tutor Support, Mentoring",Tutor Support,Tutor Support,Mentoring,Mentoring,"Tutor Support, Mentoring, Community",Tutor Support,"Tutor Support, Mentoring","Tutor Support, Mentoring, Community","Tutor Support, Community",Mentoring,Mentoring,Mentoring,Mentoring,Student Care,Tutor Support,"Student Care, Community",Personal issue requiring intervention (i.e. project extension).,"Student has encountered an error that they don't fully understand after researching it, or wish to do something that they can't quite phrase logically. Tutors identify how to increase their competency and walk them through this.",Planning out MS projects and breaking down achievable tasks.,Engaging in community motivational threads. Venting/empathising during difficult course sections. Peer feedback on projects.,,,
8/21/2020 1:17:54,Tutoring,"Tutor Support, Mentoring, Student Care",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Student Care","Student Care, Community","Student Care, Community",Community,"Tutor Support, Mentoring",Mentoring,Mentoring,"Student Care, Community","Student Care, Community","Mentoring, Community",Student Care,"Tutor Support, Mentoring, Community",Tutor Support,"Tutor Support, Mentoring",Community,Mentoring,Community,Mentoring,Tutor Support,"Student Care, Community",Tutor Support,Student Care,Motivates and uplifts in times of crisis or periods of low motivation,"Aids the student in finding the solution to their problem, without doing the task for them",Gives the student a clear goal to aim for in the project and discussing higher level details,Offer each other a helping hand and maintain the collective 'in this together' spirit,,,
8/21/2020 6:27:15,Tutoring,"Tutor Support, Mentoring, Student Care",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Student Care","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Community","Mentoring, Community","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring, Student Care","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Community","Mentoring, Student Care","Mentoring, Student Care","Student Care, Community","Tutor Support, Mentoring, Student Care","Tutor Support, Mentoring","Tutor Support, Mentoring","Student Care, Community",Mentoring,"Mentoring, Community",Mentoring,"Tutor Support, Community","Mentoring, Student Care, Community","Tutor Support, Mentoring","Tutor Support, Student Care, Community","Student approaches student care with a non code related issue, or student care reaches out at scheduled intervals or when concerns have been raised. Student care should handle the student's queries/concerns in a professional manner, by advising students on issues relating to their schedules, submission procedures etc, or by talking through any other issues students are having in general regarding the course. If necessary the student should be advised which of the other support pillars should be accessed if the situation warrants it. ","Student opens conversation on tutoring over a technical issue they are having, either in project work or in following course material. Student should have all relevant information at hand regarding their issues, including screenshots, links to code, and indication of what they've tried to rectify their problem. Ideally tutor support should guide the student to the solution to their issues without giving them the answers. Conversation should remain professional and courteous. The student should not be made to feel like they are inconveniencing the tutor with the conversation. The student should take on board tutors advice on techniques for troubleshooting particular issues. ","Student has regular scheduled meetings with their mentor regarding project design, mid-project check in and review before final submission. The student should be prepared for the meeting by bringing work they've already done for the relevant meeting. Meetings should be kept more high level regarding project design and readiness for submission rather than any low level coding related issues. Meetings should be more collaborative between the mentor and the student rather than the mentor advising exactly what the student should create for their project.",Students should be respectful and courteous to other students in order to create a positive community spirit. Students should be able to ask and answer questions relating to course and general coding related topics without fear of reproach. Ideally students should also be instrumental in increasing motivation in fellow students during their time on the course.  ,,,
8/26/2020 10:19:16,Tutoring,Student Care,,,,,,,,,,,,,,,,,,,,,,,,Tutor Support,Community,Student Care,Community,Community,"Tutor Support, Mentoring","Tutor Support, Mentoring","Mentoring, Community",Community,Student Care,Student Care,Student Care,"Tutor Support, Community","Tutor Support, Community",Tutor Support,Community,Community,Community,Mentoring,Mentoring,Community,"Tutor Support, Community",Student Care,"Personal issues related to schedule (falling-behind, unsure of deadlines, etc.)","Stuck on a challenge, issue with an error after doing some initial research, etc.","Confirm best practices for their projects, industry standards, final feedback before submission, etc.","Positive (or negative in certain cases/bugs) interactions with others, helping yourself and each other grow together, initial support if stuck, checking if others have encountered same/similar issues, etc.",,,
8/26/2020 10:48:48,Mentoring,"Tutor Support, Mentoring",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care","Mentoring, Student Care",Tutor Support,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring",Mentoring,"Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care","Mentoring, Student Care","Mentoring, Community",Student Care,"Tutor Support, Community",Tutor Support,Tutor Support,Community,Mentoring,Community,"Tutor Support, Mentoring","Tutor Support, Mentoring","Mentoring, Student Care",Tutor Support,"Tutor Support, Student Care",Student is left feeling motivated to continue on the course and tackle any concerns they may have with a strong understanding of who is there to help. ,The student is left with a good understanding of how to approach the problem they are facing & a better understanding of debugging & troubleshooting as a whole,The student is left with a strong plan in place for the next steps on their milestone projects & with some resources to make use of should they encounter any difficulties.,"Student is left with the feeling of togetherness, that they helped another student solve an issue or they themselves were able to solve a problem.  Feels like they are not alone. ",,,
8/26/2020 16:17:30,Tutoring,"Mentoring, Student Care",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring, Community","Student Care, Community","Student Care, Community","Mentoring, Student Care, Community",Mentoring,"Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care","Student Care, Community","Mentoring, Student Care",Mentoring,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Student Care","Tutor Support, Student Care",Tutor Support,Community,Mentoring,"Mentoring, Community","Tutor Support, Mentoring","Tutor Support, Mentoring","Student Care, Community",Tutor Support,"Tutor Support, Mentoring, Student Care, Community","Student may present with a range of non technical issues, ie lack of motivation, change in circumstance. Student care can help facilitate the process of figuring out how to deal with issues, or if need be, make changes to schedules to allow (extensions etc)",Students may present with a range of technical issue related to the course content or their milestone project. They will be guided toward (not given) the answer in a way that means they are better prepared to troubleshoot themselves both on the course and in future roles,"Mentor sessions should be around the high level planning aspect of milestone projects, and making sure the students project meets marking criteria, on time. They may suggest things the student could try to add in for the project, within the scope of the students ability and time available","Community interactions should be more two way -  students will learn that to have others help them, they need to ask in a respectful way, and also give back/contribute to the community ",,,
8/26/2020 17:16:26,Tutoring,Mentoring,,,,,,,,,,,,,,,,,,,,,,,,Mentoring,"Tutor Support, Community","Mentoring, Community","Mentoring, Community",Mentoring,"Tutor Support, Student Care, Community","Tutor Support, Community","Tutor Support, Community","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring, Student Care, Community",Mentoring,Student Care,"Tutor Support, Community",Community,Tutor Support,"Student Care, Community",Mentoring,Community,Mentoring,Mentoring,"Mentoring, Student Care",Tutor Support,"Tutor Support, Student Care",,,,,,,
8/26/2020 17:38:02,Tutoring,Student Care,,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring, Community","Mentoring, Student Care, Community","Mentoring, Student Care, Community","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Student Care","Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Student Care, Community",Student Care,"Mentoring, Student Care","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Student Care, Community","Tutor Support, Mentoring, Community","Tutor Support, Mentoring",Community,"Tutor Support, Mentoring",Community,"Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Community",Student Care,"Tutor Support, Mentoring, Community","Tutor Support, Mentoring, Student Care, Community",SC and the student talk about a managable schedule for the student to adhere to. ,"Student comes in with a question on an error message, and the tutor guides the student through how to read error messages and what to look for in their code relating to it to be able to work through the error message.","A mentor helps a student narrow down the scope of their MS project to an MVP during the first session, as the student's project idea might be a bit too ambitious.",Student A helps student B debug an error message that they're having in relation to their code. Student A had previously faced this error message a few weeks ago so is speaking from personal experience when advising. ,,,
8/26/2020 17:43:20,Student Care,"Tutor Support, Student Care",,,,,,,,,,,,,,,,,,,,,,,,"Tutor Support, Mentoring",Tutor Support,"Mentoring, Student Care, Community","Mentoring, Student Care, Community","Tutor Support, Mentoring, Student Care, Community","Tutor Support, Mentoring","Tutor Support, Mentoring","Tutor Support, Mentoring","Student Care, Community","Mentoring, Student Care",Mentoring,"Student Care, Community","Tutor Support, Student Care","Tutor Support, Mentoring",Tutor Support,"Student Care, Community",Tutor Support,Community,"Tutor Support, Mentoring","Tutor Support, Mentoring","Tutor Support, Mentoring, Student Care, Community",Tutor Support,"Tutor Support, Student Care, Community",A student comes away from a call feeling listened to and motivated with a clear understanding of the support available to them should they need it.,A student comes away from a session having resolved the problem they were having and with the tools needed to tackle similar problems in the future.,A student is motivated and excited to continue working on their project and by the prospect of working on projects professionally after the course. They feel their mentor is personally invested in their success.,"A student finds empathy and support among fellow learners and does not feel alone in the difficulties they may be experiencing. Through this, they find the motivation to keep struggling through the hard times and come out the other side with a diploma!",,,
